Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
Centro Universitário Metrocamp Wyden;1371;Centro Universitário;SP
FACULDADES INTEGRADAS CESUMAR;1374;Faculdade;PR
CENTRO UNIVERSITÁRIO CENTRAL PAULISTA;1375;Centro Universitário;SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;1379;Universidade;SP
FACULDADE MATER DEI;1381;Faculdade;PR
FACULDADE IDEAU DE CAXIAS DO SUL;1382;Faculdade;RS
CENTRO UNIVERSITÁRIO UNIHORIZONTES;1388;Centro Universitário;MG
"FACULDADE DE FILOSOFIA; CIÊNCIAS E LETRAS DE CAJAZEIRAS";1394;Faculdade;PB
Faculdade Doctum de Vitória;1396;Faculdade;ES
UNIVERSIDADE IBIRAPUERA;1403;Universidade;SP
FACULDADE DE RIBEIRÃO PRETO;1409;Faculdade;SP
FACULDADE ESTÁCIO DE SÁ DE VILA VELHA;1410;Faculdade;ES
FACULDADE DE JANDIRA;1411;Faculdade;SP
FACULDADE SENAC CAÇADOR;1412;Faculdade;SC
Faculdade Presidente Antônio Carlos de Uberaba;1414;Faculdade;MG
FACULDADE ESTÁCIO DE SÁ DE OURINHOS;1417;Faculdade;SP
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE VIÇOSA;1418;Faculdade;MG
FACULDADE UNIÃO ARARUAMA DE ENSINO S/S Ltda.;1419;Faculdade;RJ
FACULDADE DE COMUNICAÇÃO E TURISMO DE OLINDA;1422;Faculdade;PE
Centro Universitário Estácio do Recife;1423;Centro Universitário;PE
FACULDADE PARAÍBANA;1427;Faculdade;PB
FACULDADE ATENEU;1433;Faculdade;CE
FACULDADE PITÁGORAS DE UBERLÂNDIA;1434;Faculdade;MG
FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE;1436;Faculdade;SP
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;1437;Faculdade;MT
FACULDADE DO INSTITUTO BRASIL;1438;Faculdade;GO
FACULDADE NATALENSE DE ENSINO E CULTURA;1439;Faculdade;RN
FACULDADE INTERNACIONAL SIGNORELLI;1440;Faculdade;RJ
CENTRO UNIVERSITÁRIO FLUMINENSE;1442;Centro Universitário;RJ
CENTRO UNIVERSITÁRIO SANTO AGOSTINHO;1444;Centro Universitário;PI
FACULDADE DE IPORÁ;1446;Faculdade;GO
FACULDADE DE TECNOLOGIA DE ALAGOAS;1449;Faculdade;AL
FACULDADE CIDADE DE PATOS DE MINAS;1450;Faculdade;MG
FACULDADE ANHANGUERA DE PELOTAS;1452;Faculdade;RS
Faculdade Pitágoras Itabira;1454;Faculdade;MG
FACULDADE ANHANGÜERA DE PIRACICABA;1455;Faculdade;SP
UNIVERSIDADE DE CUIABÁ;1456;Universidade;MT
FACULDADE CEARENSE;1457;Faculdade;CE
FACULDADE ANHANGUERA DE SANTA BÁRBARA;1459;Faculdade;SP
FACULDADE ANHANGUERA DE SUMARÉ;1461;Faculdade;SP
FACULDADE PITÁGORAS DE FEIRA DE SANTANA;1462;Faculdade;BA
UNIVERSIDADE CASTELO BRANCO;1463;Universidade;RJ
FACULDADE UNIÃO DE GOYAZES;1465;Faculdade;GO
Faculdade Pitágoras de Fortaleza;1467;Faculdade;CE
FACULDADE PITÁGORAS DE LINHARES;1468;Faculdade;ES
Faculdade Pitagoras de Maraba;1472;Faculdade;PA
Faculdade Dom Pedro II de Sergipe;1476;Faculdade;SE
FACULDADE EMPRESARIAL DE CHAPECÓ;1477;Faculdade;SC
FACULDADE MONTEIRO LOBATO;1478;Faculdade;RS
FACULDADE NOSSA SENHORA APARECIDA;1484;Faculdade;GO
FACULDADE ENIAC;1486;Faculdade;SP
FACULDADE PITÁGORAS DE GUARAPARI;1487;Faculdade;ES
FACULDADE ANHANGUERA DE OSASCO;1491;Faculdade;SP
CENTRO UNIVERSITÁRIO CHRISTUS;1492;Centro Universitário;CE
FACULDADE ESAMC UBERLÂNDIA;1494;Faculdade;MG
CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU;1496;Centro Universitário;SP
FACULDADE SETELAGOANA DE CIÊNCIAS GERENCIAIS;1497;Faculdade;MG
CENTRO UNIVERSITÁRIO GERALDO DI BIASE;1498;Centro Universitário;RJ
FACULDADES INTEGRADAS DA VITÓRIA DE SANTO ANTÃO;1499;Faculdade;PE
Centro Universitário Favip Wyden;1500;Centro Universitário;PE
FACULDADE PITÁGORAS DE BELO HORIZONTE;1502;Faculdade;MG
FACULDADE SANTISSIMA TRINDADE;1504;Faculdade;PE
UNIVERSIDADE DE TAUBATÉ;1506;Universidade;SP
FACULDADE BATISTA DE MINAS GERAIS;1507;Faculdade;MG
FACULDADE PITÁGORAS DE MACEIÓ;1508;Faculdade;AL
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DO ARAGUAIA;1509;Faculdade;MT
FACULDADE DE TECNOLOGIA NOVA PALHOÇA;1510;Faculdade;SC
CENTRO UNIVERSITÁRIO SOCIESC;1513;Centro Universitário;SC
FACULDADE SATC;1514;Faculdade;SC
FACULDADE SÃO FRANCISCO DE ASSIS;1515;Faculdade;RS
FACULDADE SUMARÉ;1516;Faculdade;SP
CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR;1518;Centro Universitário;PR
INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO;1519;Faculdade;MA
FACULDADE UNIRB - PIAUÍ;1520;Faculdade;PI
Faculdade Uninassau Fortaleza Savanah;1521;Faculdade;CE
FACULDADES UNIDAS DO VALE DO ARAGUAIA;1530;Faculdade;MT
Faculdade UNA de Betim;1532;Faculdade;MG
FACULDADES OSWALDO CRUZ;1536;Faculdade;SP
FACULDADE DO MARANHÃO;1538;Faculdade;MA
CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;1540;Centro Universitário;RJ
FACULDADE VALE DO AÇO;1542;Faculdade;MA
FACULDADE NOVA ROMA;1545;Faculdade;PE
FACULDADE UNINASSAU LAURO DE FREITAS;1547;Faculdade;BA
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI;1550;Faculdade;SP
Faculdade de Imperatriz Wyden;1552;Faculdade;MA
FACULDADE UNA DE NOVA SERRANA;1554;Faculdade;MG
FACULDADE DE ODONTOLOGIA DO NORTE DE MINAS;1556;Faculdade;MG
Faculdade Uninassau Olinda - Nassau Olinda;1557;Faculdade;PE
FACULDADE MARIA MILZA;1558;Faculdade;BA
FACULDADE DO SERTÃO BAIANO ;1561;Faculdade;BA
Centro Universitário Maurício de Nassau de Salvador;1562;Centro Universitário;BA
Faculdade Doctum de Vila Velha;1563;Faculdade;ES
FACULDADE CASTELO BRANCO;1565;Faculdade;ES
FACULDADE CATÓLICA DO RIO GRANDE DO NORTE;1568;Faculdade;RN
FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA;1569;Faculdade;BA
Faculdade Funorte de Januária;1571;Faculdade;MG
INSTITUTO SUPERIOR DOCTUM DE IPATINGA;1572;Faculdade;MG
FACULDADE METROPOLITANA;1573;Faculdade;RO
FACULDADE SANTA MARIA;1574;Faculdade;PB
FACULDADE UNINASSAU PARNAMIRIM;1575;Faculdade;RN
FACULDADE PROMOVE DE TECNOLOGIA;1577;Faculdade;MG
FACULDADE SÃO PAULO;1580;Faculdade;RO
Faculdade Villas Boas;1581;Faculdade;SP
FACULDADE SÃO PAULO;1586;Faculdade;SP
FACULDADE CAMPO GRANDE;1587;Faculdade;MS
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;1590;Universidade;GO
FACULDADE INTERNACIONAL DA PARAÍBA;1591;Faculdade;PB
CENTRO UNIVERSITÁRIO FACISA;1598;Centro Universitário;PB
FACULDADE DE MIRASSOL;1599;Faculdade;SP
CENTRO UNIVERSITÁRIO UNINOVAFAPI;1600;Centro Universitário;PI
CENTRO UNIVERSITÁRIO REDENTOR;1601;Centro Universitário;RJ
CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL;1611;Centro Universitário;SP
Faculdade Presidente Antônio Carlos de Aimorés;1612;Faculdade;MG
FACULDADE DO GUARUJÁ;1613;Faculdade;SP
FACULDADE ESTÁCIO DE SÁ DE VITÓRIA;1618;Faculdade;ES
FACULDADE BIRIGUI;1619;Faculdade;SP
FACULDADE DE SUZANO;1621;Faculdade;SP
FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA;1623;Faculdade;BA
CENTRO UNIVERSITÁRIO SÃO LUCAS;1624;Centro Universitário;RO
INSTITUTO INFNET RIO DE JANEIRO;1632;Faculdade;RJ
FACULDADE PROJEÇÃO DO GUARÁ;1639;Faculdade;DF
Faculdades Integradas Padrão;1640;Faculdade;BA
FACULDADE ICESP;1641;Faculdade;DF
FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA;1642;Faculdade;BA
FACULDADE GUARAÍ;1643;Faculdade;TO
FACULDADE PARAÍSO DO CEARÁ;1644;Faculdade;CE
FACULDADES INTEGRADAS DE BAURU;1645;Faculdade;SP
UNIVERSIDADE CATÓLICA DO SALVADOR;1647;Universidade;BA
Faculdade Presidente Antônio Carlos de Ponte Nova;1652;Faculdade;MG
FACULDADE TRÊS DE MAIO;1655;Faculdade;RS
FACULDADE INTEGRADA BRASIL AMAZONIA - FIBRA;1656;Faculdade;PA
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO;1657;Centro Universitário;SP
Faculdade Padre Cícero;1658;Faculdade;CE
FACULDADE CATHEDRAL;1659;Faculdade;RR
FACULDADE DE PATO BRANCO;1660;Faculdade;PR
INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC;1661;Faculdade;SC
FACULDADE DE TECNOLOGIA ESTÁCIO DE CURITIBA;1666;Faculdade;PR
INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU;1668;Faculdade;PR
FACULDADES INTEGRADAS PITÁGORAS;1669;Faculdade;MG
FACULDADES INTEGRADAS DE ARACRUZ;1670;Faculdade;ES
FACULDADE JARDINS;1672;Faculdade;SE
NOVA FACULDADE;1675;Faculdade;MG
CENTRO UNIVERSITÁRIO EURO-AMERICANO;1676;Centro Universitário;DF
UNIVERSIDADE DE SOROCABA;1680;Universidade;SP
INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA;1682;Faculdade;ES
FACULDADE INTERAMERICANA DE PORTO VELHO;1683;Faculdade;RO
Faculdade Estácio de Juazeiro;1685;Faculdade;BA
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE FEIRA DE SANTANA;1689;Faculdade;BA
FACULDADE UNINASSAU MANAUS;1690;Faculdade;AM
UNIVERSIDADE PARANAENSE;1692;Universidade;PR
Faculdade dos Guararapes;1693;Faculdade;PE
FACULDADE MAURÍCIO DE NASSAU DE FLORIANÓPOLIS;1694;Faculdade;SC
FACULDADE UNINASSAU FEIRA DE SANTANA;1696;Faculdade;BA
FACULDADE DE SANTA CATARINA;1697;Faculdade;SC
FACULDADE LS;1699;Faculdade;DF
FACULDADES INTEGRADAS DE CATAGUASES;1700;Faculdade;MG
CENTRO UNIVERSITÁRIO DO SUL DE MINAS;1701;Centro Universitário;MG
FACULDADE PARANAENSE;1702;Faculdade;PR
Faculdade de Quixeramobim;1703;Faculdade;CE
FACULDADE DO LITORAL PARANAENSE;1706;Faculdade;PR
Faculdade Metropolitana de Horizonte;1707;Faculdade;CE
FACULDADE METROPOLITANA DE BLUMENAU;1708;Faculdade;SC
INSTITUTO TAUBATÉ DE ENSINO SUPERIOR;1709;Faculdade;SP
CENTRO UNIVERSITÁRIO BARRIGA VERDE;1710;Centro Universitário;SC
FACULDADE REGIONAL BRASILEIRA - MACEIÓ;1711;Faculdade;AL
FACULDADES INTEGRADAS DE ITAPETININGA;1713;Faculdade;SP
Faculdade Unirb - Barreiras;1714;Faculdade;BA
FACULDADE ARNALDO HORÁCIO FERREIRA;1716;Faculdade;BA
FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU;1717;Faculdade;PR
CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;1718;Centro Universitário;SP
Centro Universitário Fanor Wyden;1720;Centro Universitário;CE
CENTRO UNIVERSITÁRIO MÓDULO;1721;Centro Universitário;SP
Faculdade ICESP de Brasília;1722;Faculdade;DF
FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;1723;Faculdade;RO
UNIVERSIDADE TIRADENTES;1724;Universidade;SE
CENTRO UNIVERSITÁRIO SETE DE SETEMBRO;1726;Centro Universitário;CE
FACULDADE HORIZONTE;1728;Faculdade;DF
CENTRO UNIVERSITÁRIO SENAC;1731;Centro Universitário;SP
ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI;1733;Faculdade;SC
FACULDADE ANHANGUERA DE VALPARAÍSO;1734;Faculdade;GO
FACULDADE DE AMPÉRE;1735;Faculdade;PR
FACULDADE DE SÃO JOSÉ DOS CAMPOS;1738;Faculdade;SP
INSTITUTO FLORENCE DE ENSINO SUPERIOR;1739;Faculdade;MA
FACULDADE ANHANGUERA JARAGUÁ DO SUL;1742;Faculdade;SC
INSTITUTO DE ENSINO SUPERIOR FUCAPI;1743;Faculdade;AM
CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS;1745;Centro Universitário;MG
FUNVIC - FACULDADE DE PINDAMONHANGABA;1756;Faculdade;SP
FACULDADE METROPOLITANA DE CAMAÇARI;1758;Faculdade;BA
FACULDADE AVANTIS;1762;Faculdade;SC
FACULDADES INTEGRADAS DE PATOS;1765;Faculdade;PB
FACULDADE UNINASSAU BELÉM;1766;Faculdade;PA
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;1767;Centro Universitário;MS
INSTITUTO ASSIS GURGACZ;1771;Faculdade;PR
FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA;1772;Faculdade;RO
FACULDADE PROMOVE DE SETE LAGOAS;1773;Faculdade;MG
FACULDADE BATISTA BRASILEIRA DO RECÔNCAVO;1774;Faculdade;BA
Faculdade de Tecnologia e Ciências;1775;Faculdade;SP
CENTRO UNIVERSITÁRIO SÃO MIGUEL;1776;Centro Universitário;PE
FACULDADE DE BOITUVA;1777;Faculdade;SP
FACULDADE SANTA AMÉLIA;1780;Faculdade;PR
FACULDADES INTEGRADAS SIMONSEN;1786;Faculdade;RJ
FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA;1789;Faculdade;SP
FACULDADE DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS DE SÃO ROQUE;1790;Centro Universitário;SP
FACULDADE SUDOESTE PAULISTA-ITAPETININGA;1797;Faculdade;SP
CENTRO UNIVERSITÁRIO DE VOTUPORANGA;1798;Centro Universitário;SP
Centro Universitário Metropolitano de Maringá;1804;Centro Universitário;PR
"FATECE - FACULDADE DE TECNOLOGIA; CIÊNCIAS E EDUCAÇÃO";1805;Faculdade;SP
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;1815;Centro Universitário;PR
Faculdade de Ciências Educacionais de Capim Grosso;1817;Faculdade;BA
"FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS; SOCIAIS E BIOTECNOLÓGICAS";1818;Faculdade;AM
Faculdade Cesar;1819;Faculdade;PE
FACULDADE DE ROSEIRA;1822;Faculdade;SP
FACULDADE METROPOLITANA DE PALHOÇA;1825;Faculdade;SC
FACULDADE ASA DE BRUMADINHO;1830;Faculdade;MG
Centro de Ensino Superior Riograndese;1831;Faculdade;RS
FACULDADE MAUÁ DE BRASÍLIA;1834;Faculdade;DF
CENTRO UNIVERSITÁRIO ASSUNÇÃO;1835;Centro Universitário;SP
FACULDADE EVANGÉLICA DE GOIANÉSIA;1836;Faculdade;GO
FACULDADE DE FILOSOFIA E CIÊNCIAS HUMANAS DE GOIATUBA;1838;Faculdade;GO
ESCOLA DE ENSINO SUPERIOR FABRA;1840;Faculdade;ES
CLARETIANO - FACULDADE - CLARETIANORC;1841;Centro Universitário;SP
FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA;1842;Faculdade;PR
FACULDADE ESTÁCIO DO AMAZONAS - ESTÁCIO AMAZONAS;1844;Faculdade;AM
CENTRO UNIVERSITÁRIO CURITIBA;1846;Centro Universitário;PR
FACULDADE MICHELANGELO;1847;Faculdade;DF
CENTRO UNIVERSITÁRIO UNIVEL;1850;Centro Universitário;PR
FACULDADE INEDI;1852;Faculdade;RS
INSTITUTO NACIONAL DE ENSINO SUPERIOR E PÓS-GRADUAÇÃO PADRE GERVÁSIO;1853;Faculdade;MG
FACULDADES INTEGRADAS PAULISTA;1854;Faculdade;SP
Faculdade de Tecnologia e Ciências;1856;Faculdade;BA
FACULDADE INDEPENDENTE DO NORDESTE;1857;Faculdade;BA
CENTRO UNIVERSITÁRIO DE CARATINGA;1858;Centro Universitário;MG
INSTITUTO PARAIBANO DE ENSINO RENOVADO;1860;Faculdade;PB
Centro Universitário de Itapira Uniesi;1862;Centro Universitário;SP
Faculdade Estácio do Pará - Estácio FAP;1867;Faculdade;PA
UNIVERSIDADE NILTON LINS;1869;Universidade;AM
FACULDADE CIÊNCIAS DA VIDA;1872;Faculdade;MG
Faculdade CESUMAR de Londrina;1879;Faculdade;PR
INSTITUTO UNIFICADO DE ENSINO SUPERIOR OBJETIVO;1881;Faculdade;GO
FACULDADE SÃO FRANCISCO DE JUAZEIRO;1883;Faculdade;BA
FACULDADE FUCAPE;1884;Faculdade;ES
Faculdade NETCOM;1885;Faculdade;MA
FACULDADE ANHANGUERA DE PINDAMONHANGABA;1886;Faculdade;SP
