Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
FACULDADE DE PORTO VELHO;3193;Faculdade;RO
FACULDADE PARANAENSE;3194;Faculdade;PR
Faculdade Fasipe Mato Grosso;3204;Faculdade;MT
FACULDADE DE DIREITO DE VITÓRIA;3205;Faculdade;ES
CENTRO UNIVERSITÁRIO BRAZ CUBAS;3209;Centro Universitário;SP
Faculdade Alis de Itabirito;3230;Faculdade;MG
CENTRO UNIVERSITÁRIO PADRE ANCHIETA;3232;Centro Universitário;SP
FACULDADES INTEGRADAS DE SERGIPE;3268;Faculdade;SE
FACULDADES INTEGRADAS DO VALE DO IGUAÇU;3270;Faculdade;PR
FACULDADE ESPECIALIZADA NA ÁREA DE SAÚDE DO RIO GRANDE DO SUL;3285;Faculdade;RS
FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA;3294;Faculdade;SP
CENTRO UNIVERSITÁRIO DE ARARAS -;3295;Centro Universitário;SP
FACULDADE DO NORTE NOVO DE APUCARANA;3304;Faculdade;PR
FACULDADE CONCÓRDIA;3307;Faculdade;SC
FACULDADE DE TECNOLOGIA FINACI;3319;Faculdade;SP
FACULDADE UNIGRAN CAPITAL;3333;Faculdade;MS
FACULDADE SETE LAGOAS;3339;Faculdade;MG
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;3363;Faculdade;RJ
FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;3365;Faculdade;MG
EMGE - ESCOLA DE ENGENHARIA;3367;Faculdade;MG
Faculdade Doctum de Juiz de Fora;3368;Faculdade;MG
FACULDADE DEHONIANA;3371;Faculdade;SP
FACULDADE DE TECNOLOGIA INSPIRAR;3372;Faculdade;PR
FACULDADE ADVENTISTA DA BAHIA;3375;Faculdade;BA
FACULDADE DE TAQUARITINGA;3377;Faculdade;SP
FACULDADE DE BELO HORIZONTE;3388;Faculdade;MG
FACULDADE DE MONTE ALTO;3389;Faculdade;SP
Faculdade Presidente Antônio Carlos de Baependi;3392;Faculdade;MG
FACULDADE DE CIÊNCIAS SOCIAIS DE GUARANTÃ DO NORTE;3396;Faculdade;MT
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;3397;Faculdade;BA
FACULDADE DE GUARULHOS;3400;Faculdade;SP
FACULDADE DE UMUARAMA;3411;Faculdade;PR
FACULDADE DE CIÊNCIA E TECNOLOGIA DE MONTES CLAROS;3427;Faculdade;MG
FACULDADE LUIZ EDUARDO MAGALHÃES;3430;Faculdade;BA
INSTITUTO SUPERIOR DE EDUCAÇÃO DO SERTÃO DO PAJEÚ;3434;Faculdade;PE
FACULDADE DE SÃO ROQUE;3436;Faculdade;SP
Faculdade Projeção de Sobradinho;3437;Faculdade;DF
FACULDADE SOLIDARIA DO OESTE PAULISTA;3443;Faculdade;SP
FACULDADE CNEC SANTO ÂNGELO;3448;Faculdade;RS
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO;3456;Faculdade;RJ
FACULDADE DE DIREITO DE SANTA MARIA;3488;Faculdade;RS
FACULDADE DA AMAZÔNIA;3513;Faculdade;PA
FACULDADE PARAENSE DE ENSINO;3515;Faculdade;PA
Faculdades EST;3518;Faculdade;RS
FACULDADES INTEGRADAS DA UPIS;3588;Faculdade;DF
FACULDADE ZACARIAS DE GÓES;3590;Faculdade;BA
INSTITUTO DE ENSINO SUPERIOR DE PIEDADE;3602;Faculdade;PE
FACULDADE PRESIDENTE ANTÔNIO CARLOS;3603;Faculdade;TO
INSTITUTO DE ENSINO SUPERIOR DE MATO GROSSO;3610;Faculdade;MT
FACULDADES INTEGRADAS IESGO;3612;Faculdade;GO
FACULDADE PITÁGORAS DE TECNOLOGIA DE BELO HORIZONTE;3613;Faculdade;MG
FACULDADE DE TECNOLOGIA IPANEMA;3615;Faculdade;SP
FACULDADE BARRETOS;3617;Faculdade;SP
FACULDADE DE TECNOLOGIA ATENEU;3618;Faculdade;CE
FACULDADE DE TECNOLOGIA DO NORDESTE;3625;Faculdade;CE
FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA;3641;Faculdade;SP
FACULDADE ALMEIDA RODRIGUES;3644;Faculdade;GO
FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL;3648;Faculdade;SP
FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ;3649;Faculdade;PR
FACULDADE PERUIBE;3657;Faculdade;SP
Faculdades Unificadas de Teófilo Otoni;3667;Faculdade;MG
FACULDADE DE INHUMAS - FAC-MAIS;3669;Faculdade;GO
FACULDADE DE TECNOLOGIA DE CATALÃO;3680;Faculdade;GO
Faculdade Uninassau Garanhuns;3716;Faculdade;PE
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;3724;Faculdade;SP
Faculdade de Pouso Alegre;3741;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS;3743;Faculdade;MG
FACULDADE VERDE NORTE;3754;Faculdade;MG
Centro Universitário de Bauru;3756;Centro Universitário;SP
FACULDADE DE ADMINISTRAÇÃO DE TERESINA;3757;Faculdade;PI
FACULDADE MOZARTEUM DE SÃO PAULO;3758;Faculdade;SP
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM;3768;Faculdade;MG
FACULDADE DIADEMA;3774;Faculdade;SP
FACULDADE BRASIL CENTRAL;3776;Faculdade;GO
